model,epoch,val_f1,val_f1_std,val_rec,val_prec,test_f1,test_f1_std,test_rec,test_prec,run_id
AlBERTo,4,0.8501815079275199,0.0026768533491709325,0.8987468671679197,0.8068749627555304,0.6834568534707068,0.005814257410344593,0.9410000000000001,0.5367608098748546,27
AlBERTo,1,0.7523772374712582,0.005698478261094987,0.8168734491315137,0.6979507494217112,0.5204204297637662,0.08918045860705165,0.426,0.7158858007649505,28
AlBERTo,2,0.9071163752504747,0.0037562738132786173,0.9522758620689654,0.8661132922420236,0.5284747767686531,0.02195523843461615,0.517,0.5416195757938391,29
AlBERTo,2,0.7754683535416573,0.003499961723705312,0.8031535269709543,0.7498802090161878,0.6945762518265987,0.007129188027973655,0.786,0.6228468053354788,30
AlBERTo,3,0.8789103031086661,0.00299850746000177,0.9183274021352312,0.84294524983619,0.7045997297265805,0.010712778034370709,0.8029999999999999,0.6285170581614832,31
AlBERTo,3,0.8203550994787229,0.001315247814526585,0.88791639451339,0.7624001207897064,0.651626730236673,0.017524770704530932,0.645,0.6603216679280686,32
AlBERTo,2,0.8077709629657841,0.010984581775821957,0.8717098445595856,0.7528785578400352,0.6835293423695942,0.015220374107506124,0.8210000000000001,0.5868727608701105,33
Incel AlBERTo 627k,5,0.8467388661329359,0.004989016009372031,0.86265664160401,0.8314139810810672,0.7068677727307123,0.0071574091160606715,0.791,0.6389688719408054,27
Incel AlBERTo 627k,1,0.7480209230569995,0.0021726884512167275,0.784863523573201,0.7145347424312546,0.5058402435744395,0.035130036582985226,0.37,0.8052299246255471,28
Incel AlBERTo 627k,5,0.9121869110173435,0.00300898095455685,0.9299310344827587,0.8951185509758061,0.6172517750751788,0.01832149168765664,0.562,0.6854290223380989,29
Incel AlBERTo 627k,2,0.7709339047021263,0.003971987808014554,0.7912033195020747,0.7520771233945932,0.6729847231453985,0.01567214775887627,0.721,0.6324526941164714,30
Incel AlBERTo 627k,5,0.8731307708145317,0.003212188126644612,0.8884341637010676,0.8583541051464516,0.6682425022215785,0.014075169315454385,0.663,0.6737047009171181,31
Incel AlBERTo 627k,1,0.8175403868508099,0.004026265867535933,0.8637491835401698,0.7761089987813508,0.6563781994587096,0.006956673173736991,0.593,0.7359994917730767,32
Incel AlBERTo 627k,4,0.7995788380038162,0.009426518258453061,0.828497409326425,0.7729974827787297,0.6881532993351834,0.017278526085075064,0.747,0.6387605636932051,33
Incel Umberto 627k,5,0.8669278778287971,0.0063049383656679754,0.8867167919799499,0.8480561939024713,0.7050233184376171,0.008830347379061425,0.8699999999999999,0.5929919523908727,27
Incel Umberto 627k,4,0.7555874904723382,0.002049491935796385,0.8096774193548388,0.7084882913051975,0.403211794056078,0.02425430148085227,0.28500000000000003,0.6919138369779645,28
Incel Umberto 627k,4,0.9175590410351416,0.0009934727855555451,0.9456551724137929,0.8911628042011059,0.6524279455337088,0.03063941103736592,0.608,0.7052228895335219,29
Incel Umberto 627k,4,0.7904665178814445,0.0029115556333611852,0.8312033195020747,0.7536070094270575,0.6595153569179328,0.014049191622547228,0.696,0.6270312322088542,30
Incel Umberto 627k,5,0.886029776886742,0.002098754076553154,0.9005338078291814,0.8720396553771288,0.7035218775185632,0.00479631423978789,0.732,0.6775022475828403,31
Incel Umberto 627k,2,0.8312473536435337,0.002630919906992763,0.8658393207054212,0.7993604875251924,0.6483061156956522,0.011323061555345881,0.544,0.8023348996117875,32
Incel Umberto 627k,5,0.8275516142191492,0.0029537895938930203,0.8529533678756476,0.8037528214133381,0.6992266615494651,0.0287716473213136,0.718,0.6823361887898887,33
Incel mBERT 1M,3,0.854762164504347,0.0033840407680797097,0.8772151898734177,0.8335887598865017,0.5156011987287389,0.07133585172631758,0.386,0.8073757821126243,17
Incel mBERT 1M,1,0.8173655001166888,0.008845744143753036,0.8651629072681704,0.7765675476811917,0.6680220301002041,0.016243401384416326,0.841,0.5567693078241891,27
Incel mBERT 1M,5,0.7274829537843954,0.005515689161509284,0.756575682382134,0.7006670162513894,0.46060104970745847,0.03205095358545706,0.379,0.58874427564742,28
Incel mBERT 1M,4,0.895436414541719,0.006925812539032022,0.9122758620689655,0.8794315244504023,0.5743211449927867,0.04739368278035686,0.511,0.665801247997854,29
Incel mBERT 1M,3,0.7471963365526886,0.006709926368594231,0.773609958506224,0.7231123291014935,0.6045391021448527,0.01501506816250477,0.64,0.5738873280481819,30
Incel mBERT 1M,3,0.8540563254935378,0.0036414328378988983,0.8959074733096084,0.816415595119287,0.6542756055425759,0.02507699197494283,0.752,0.5834726089342681,31
Incel mBERT 1M,4,0.8018614866317362,0.0032496110370579703,0.8402351404310908,0.7673752326621913,0.6451138784652166,0.018649477270748543,0.655,0.6387263382309667,32
Incel mBERT 1M,3,0.7987449173335183,0.004052973344885989,0.825,0.7743466314829172,0.6477223849357421,0.02160965085434431,0.64375,0.6532168422485825,33
Incel mBERT 1M,5,0.8585486914193405,0.009866621294735516,0.8531645569620252,0.8641088335355015,0.7075539036598292,0.006667432242484922,0.889,0.5881223060715561,34
Incel mBERT 1M,2,0.8609278272101204,0.01534492787174348,0.8664556962025316,0.8558577448718557,0.6152904186316999,0.02546390723192889,0.558,0.6896689057933318,35
Incel mBERT 1M,4,0.8526949606166451,0.008687835866398538,0.8626582278481013,0.843668504254689,0.7219722393892247,0.027742693724438886,0.704,0.7456186879440888,36
Incel mBERT 1M,5,0.8569728290129983,0.007024408111642992,0.8550632911392405,0.8589514155487918,0.6792391055341802,0.014142519515992154,0.731,0.6347043885560705,37
Incel mBERT 1M,4,0.8561750205924993,0.009405292288359691,0.8569620253164556,0.8557723666438367,0.6888288372526356,0.01096922348568753,0.7070000000000001,0.6730667729675641,38
